stockidname,type
2380虹光,電子其他/週邊產品
2382廣達,電腦系統業
2383台光電,印刷電路板相關
2385群光,電子零件元件/週邊產品
2387精元,週邊產品
2388威盛,車用電子/顯示器/IC設計
2390云辰,軟體業/LED/消費性電子產品
2392正崴,汽機車零組件/電子零件元件/電力設備/電子通路/週邊產品
2393億光,LED
2395研華,電腦系統業
2397友通,電腦系統業
2399映泰,電腦系統業
2401凌陽,IC設計
2402毅嘉,手機零組件/印刷電路板相關
2404漢唐,電子其他
2405輔信,電腦系統業/輔助與彌補用醫材
2406國碩,太陽能
2408南亞科,IC製造
2409友達,太陽能/面板業
2412中華電,通訊服務
2413環科,被動元件/電子零件元件/光通訊/電腦系統業
2414精技,電子通路
2415錩新,電子零件元件/金融業
2417圓剛,電聲產品/消費性電子產品
2419仲琦,通訊設備/軟體業
2420新巨,電子零件元件
2421建準,電子零件元件
2423固緯,設備儀器廠商
2424隴華,通訊服務
2425承啟,週邊產品/電腦系統業
2426鼎元,光通訊/LED/分離式元件
2427三商電,軟體業/傳產其他
2428興勤,被動元件
2429銘旺科,面板業
2430燦坤,家電/電子通路
2431聯昌,電子零件元件
2433互盛電,電子其他
2434統懋,分離式元件
2436偉詮電,IC設計/電子通路
2438翔耀,家電/面板零組件/電力設備
2439美律,電聲產品
2440太空梭,電子零件元件/電線電纜
2441超豐,IC封裝測試
2442新美齊,地產
2443昶虹,大宗物資/運輸事業/流通業/醫療器材通路
2444兆勁,通訊設備/週邊產品
2449京元電子,IC封裝測試
2450神腦,電子通路
2451創見,電子零件元件
2453凌群,軟體業/INTERNET技術與基礎設施
2454聯發科,手機零組件/IC設計
2455全新,IC製造
2457飛宏,電子零件元件
2458義隆,IC設計
2459敦吉,電子通路/設備儀器廠商
2460建通,電子零件元件
2461光群雷,面板零組件/電子其他
2462良得電,電子零件元件
2464盟立,機械/電子通路/設備儀器廠商
2465麗臺,電腦系統業
2466冠西電,光通訊/LED
2467志聖,設備儀器廠商
2468華經,軟體業
2471資通,軟體業
2472立隆電,被動元件
2474可成,電子零件元件
2476鉅祥,電子零件元件
2477美隆電,電子零件元件
2478大毅,被動元件
2480敦陽科,軟體業/INTERNET技術與基礎設施
2481強茂,分離式元件
2482連宇,週邊產品
2483百容,電子零件元件/電力設備/封測服務與材料
2484希華,被動元件
2485兆赫,通訊設備/消費性電子產品
2486一詮,面板零組件/LED/封測服務與材料
2488漢平,電子零件元件
2489瑞軒,顯示器/週邊產品
2491吉祥全,LED
2492華新科,被動元件
2493揚博,電子通路/設備儀器廠商
2495普安,週邊產品
2496卓越,服務業
2497怡利電,車用電子
2498宏達電,軟體業/手機/消費性電子產品/穿戴式裝置
2501國建,地產
2504國產,水泥/資產股
2505國揚,地產
2506太設,地產
2509全坤建,地產
2511太子,營造工程/地產/旅館、餐飲
2514龍邦,地產
2515中工,營造工程
2516新建,營造工程
2520冠德,營造工程/地產
2524京城,地產
2527宏璟,地產
2528皇普,地產
2530華建,地產
2534宏盛,地產
2535達欣工,營造工程
2536宏普,地產
2537聯上發,地產
2538基泰,地產
2539櫻花建,地產
2540愛山林,營造工程/地產
2542興富發,地產
2543皇昌,營造工程
2545皇翔,地產
2546根基,營造工程
2547日勝生,地產
2548華固,地產
2596綠意,地產
2597潤弘,營造工程/建材
2601益航,運輸事業/流通業
2603長榮,運輸事業
2605新興,運輸事業
2606裕民,運輸事業
2607榮運,運輸事業/資產股/其他公用事業
2608嘉里大榮,運輸事業
2609陽明,運輸事業
2610華航,運輸事業
2611志信,運輸事業/地產/旅館、餐飲/流通業
2612中航,運輸事業
2613中櫃,運輸事業
2614東森,INTERNET應用與服務/運輸事業/休閒娛樂/無店舖販售/傳播事業/食品加工/旅館、餐飲/時尚產業/傳產其他
2615萬海,運輸事業
2616山隆,運輸事業/其他公用事業
2617台航,運輸事業
2618長榮航,運輸事業
2630亞航,機械
2633台灣高鐵,運輸事業
2634漢翔,機械/航天軍工
2636台驊投控,運輸事業
2637慧洋-KY,運輸事業
2640大車隊,運輸事業/車輛整車
2641正德,運輸事業
2642宅配通,運輸事業
2643捷迅,運輸事業
2645長榮航太,機械/航天軍工
2701萬企,休閒娛樂/地產
2702華園,旅館、餐飲
2704國賓,旅館、餐飲
2705六福,休閒娛樂/資產股/旅館、餐飲
2706第一店,地產/旅館、餐飲
2707晶華,旅館、餐飲
2712遠雄來,旅館、餐飲
2718晶悅,地產
2719燦星旅,休閒娛樂
2722夏都,旅館、餐飲
2723美食-KY,食品加工/旅館、餐飲
2724富驛-KY,旅館、餐飲
2726雅茗-KY,旅館、餐飲
2727王品,旅館、餐飲
2729瓦城,旅館、餐飲
2731雄獅,休閒娛樂
2732六角,旅館、餐飲
2734易飛網,INTERNET應用與服務/休閒娛樂
2736富野,旅館、餐飲
2739寒舍,旅館、餐飲
2740天蔥,旅館、餐飲
2743山富,休閒娛樂
2745五福,休閒娛樂
2748雲品,旅館、餐飲
2752豆府,旅館、餐飲
2753八方雲集,旅館、餐飲
2754亞洲藏壽司,旅館、餐飲
2755揚秦,旅館、餐飲
2756聯發國際,旅館、餐飲
2801彰銀,金融業
2809京城銀,金融業
2812台中銀,金融業
2816旺旺保,金融業
2820華票,金融業
2832台產,金融業
2834臺企銀,金融業
2836高雄銀,金融業
2838聯邦銀,金融業
2845遠東銀,金融業
2849安泰銀,金融業
2850新產,金融業
2851中再保,金融業
2852第一保,金融業
2855統一證,金融業
2867三商壽,金融業
2880華南金,金融業
2881富邦金,金融業
2882國泰金,金融業
2883開發金,金融業
2884玉山金,金融業
2885元大金,金融業
2886兆豐金,金融業
2887台新金,金融業
2888新光金,金融業
2889國票金,金融業
2890永豐金,金融業
2891中信金,金融業/服務業
2892第一金,金融業
2897王道銀行,金融業
2901欣欣,休閒娛樂/資產股/地產/流通業
2903遠百,流通業
2904匯僑,電力/石油及天然氣
2905三商,控股公司
2906高林,成衣/家居用品/流通業
2908特力,流通業
2910統領,地產/流通業
2911麗嬰房,傳產其他
2912統一超,流通業
2913農林,營造工程/農林漁牧/資產股/食品加工/流通業
2915潤泰全,成衣/控股公司/紡織中游/流通業
2916滿心,成衣
2923鼎固-KY,地產
2924宏太-KY,傳產其他
2926誠品生活,旅館、餐飲/流通業/文化創意產業
2929淘帝-KY,傳產其他
2937集雅社,家電
2939凱羿-KY,流通業
2945三商家購,流通業
2947振宇五金,流通業
3002歐格,電子零件元件/遊戲產業
3003健和興,電子零件元件
3004豐達科,線材、盤元/航天軍工
3005神基,車用金屬成型/電子零件元件/電腦系統業
3006晶豪科,IC設計
3008大立光,數位相機
3010華立,電子通路
3011今皓,電子零件元件
3013晟銘電,電子零件元件
3014聯陽,IC設計
3015全漢,電子零件元件
3016嘉晶,IC製造
3017奇鋐,電子零件元件
3018同開,電子其他/地產
3019亞光,數位相機/傳產其他
3021鴻名,電子零件元件/軟體業
3022威強電,電腦系統業
3023信邦,電子零件元件
3024憶聲,家電/車用電子/資產股
3025星通,通訊設備/光通訊
3026禾伸堂,被動元件/電子通路
3027盛達,電子零件元件/通訊設備/太陽能/電力
3028增你強,電子通路
3029零壹,軟體業/INTERNET技術與基礎設施
3030德律,設備儀器廠商
3031佰鴻,LED
3032偉訓,電子零件元件/週邊產品
3033威健,電子通路
3034聯詠,手機零組件/IC設計
3035智原,IC設計
3036文曄,電子通路
3037欣興,印刷電路板相關/封測服務與材料
3038全台,面板業
3040遠見,消費性電子產品/地產
3041揚智,IC設計
3042晶技,被動元件
3043科風,電子零件元件
3044健鼎,印刷電路板相關
3045台灣大,通訊服務/INTERNET應用與服務/無店舖販售/傳播事業
3047訊舟,通訊設備
3048益登,電子通路
3049和鑫,面板業
3050鈺德,太陽能/休閒娛樂/光碟片/旅館、餐飲
3051力特,面板零組件
3052夆典,營造工程/地產
3054立萬利,生物科技
3055蔚華科,設備儀器廠商
3056總太,地產
3057喬鼎,週邊產品
3058立德,電子零件元件
3059華晶科,車用電子/數位相機/手機零組件/IC設計/消費性電子產品/診斷與監測用醫材
3060銘異,週邊產品
3062建漢,通訊設備/消費性電子產品
3064泰偉,遊戲產業
3066李洲,LED
3067全域,電子零件元件
3071協禧,電子零件元件
3073天方能源,太陽能/電力
3078僑威,電子零件元件
3081聯亞,IC製造
3083網龍,遊戲產業
3085新零售,INTERNET應用與服務/運輸事業
3086華義,遊戲產業/文化創意產業
3088艾訊,顯示器/電腦系統業
3089億杰,太陽能/航天軍工
3090日電貿,被動元件/電子通路
3092鴻碩,電子零件元件
3093港建*,設備儀器廠商
3094聯傑,IC設計
3095及成,電子零件元件
3105穩懋,IC製造
3114好德,電子零件元件/電子通路
3115富榮綱,印刷電路板相關
3118進階,生物科技/體外診斷用醫材
3122笙泉,IC設計
3128昇銳,車用電子/消費性電子產品
3130一零四,服務業/醫療管理服務
3131弘塑,電子化工材料/設備儀器廠商
3138耀登,通訊設備/設備儀器廠商
3141晶宏,IC設計
3147大綜,軟體業/電子通路
3149正達,面板零組件/建材/汽車內裝
3152璟德,通訊設備
3162精確,汽機車零組件
3163波若威,光通訊
3164景岳,生物科技/化學工業
3167大量,印刷電路板相關/設備儀器廠商
3169亞信,IC設計
3171新洲,石化業/化學工業
3176基亞,體外診斷用醫材/醫藥產業
3178公準,機械
3188鑫龍騰,地產
3189景碩,封測服務與材料/輔助與彌補用醫材
3191和進,電子零件元件
3202樺晟,電子零件元件
3205佰研,生物科技/食品加工/流通業
3206志豐,電聲產品
3207耀勝,被動元件/電子零件元件
3209全科,IC設計/電子通路
3211順達,汽機車零組件/電子零件元件/資產股/電力設備
3213茂訊,電子通路/電腦系統業
3217優群,電子零件元件
3218大學光,醫療管理服務
3219倚強科,設備儀器廠商
3221台嘉碩,被動元件
3224三顧,生物科技/電子通路
3226至寶電,汽機車零組件
3227原相,IC設計
3228金麗科,IC設計
3229晟鈦,印刷電路板相關
3230錦明,電子零件元件
3231緯創,電腦系統業
3232昱捷,IC設計/電子通路/分離式元件
3234光環,IC製造/光通訊
3236千如,被動元件
3252海灣,旅館、餐飲
3257虹冠電,IC設計/分離式元件
3259鑫創,IC設計
3260威剛,電子零件元件/週邊產品
3264欣銓,IC封裝測試
3265台星科,IC封裝測試
3266昇陽,地產
3268海德威,IC設計
3272東碩,週邊產品
3276宇環,印刷電路板相關
3284太普高,傳產其他
3285微端,電子零件元件/面板業
3287廣寰科,電聲產品/週邊產品
3288點晶,IC設計
3289宜特,設備儀器廠商
3290東浦,電子零件元件
3293鈊象,遊戲產業
