stockidname,type
9931欣高,石油及天然氣
9933中鼎,營造工程
9934成霖,家居用品
9935慶豐富,家居用品
9937全國,其他公用事業
9938百和,紡織中游/傳產其他
9939宏全,化纖原料/造紙業/傳產其他
9940信義,地產
9941裕融,車輛整車
9942茂順,橡膠工業
9943好樂迪,休閒娛樂
9944新麗,家居用品/紡織中游
9945潤泰新,地產
9946三發地產,營造工程/地產
9949琉園,傳產其他
9950萬國通,傳產其他
9951皇田,汽車內裝
9955佳龍,傳產其他
9958世紀鋼,條鋼
9960邁達康,INTERNET應用與服務/運動產業
9962有益,不鏽鋼
