stock_id,stock_name,market,industry,type
3581,博磊,上櫃,半導體業,設備儀器廠商/封測服務與材料
3583,辛耘,上市,半導體業,IC製造/設備儀器廠商
3587,閎康,上櫃,其他電子業,設備儀器廠商
3588,通嘉,上市,半導體業,IC設計
3591,艾笛森,上市,光電業,LED
3592,瑞鼎,上市,半導體業,手機零組件/IC設計
3593,力銘,上市,電子零組件業,電子零件元件
3594,磐儀,上櫃,電腦及週邊設備業,電腦系統業
3596,智易,上市,通信網路業,通訊設備/消費性電子產品
3597,映興,上櫃,電子零組件業,電子零件元件/電子通路
3605,宏致,上市,電子零組件業,電子零件元件
3607,谷崧,上市,電子零組件業,電子零件元件
3609,三一東林,上櫃,電子零組件業,電子零件元件/車輛整車
3611,鼎翰,上櫃,電腦及週邊設備業,週邊產品
3615,安可,上櫃,光電業,面板零組件
3617,碩天,上市,其他電子業,電子零件元件/週邊產品
3622,洋華,上市,光電業,電線電纜/面板業
3623,富晶通,上櫃,光電業,面板業
3624,光頡,上櫃,電子零組件業,被動元件
3625,西勝,上櫃,電腦及週邊設備業,電子零件元件/電力設備
3628,盈正,上櫃,其他電子業,電子零件元件/電力設備
3629,地心引力,上櫃,文化創意業,遊戲產業
3630,新鉅科,上櫃,光電業,數位相機
3631,晟楠,上櫃,電子零組件業,印刷電路板相關/封測服務與材料
3632,研勤,上櫃,通信網路業,車用電子/旅館、餐飲
3642,駿熠電,上櫃,其他電子業,橡膠工業/手機零組件
3645,達邁,上市,電子零組件業,印刷電路板相關
3646,艾恩特,上櫃,電子零組件業,機械/電子零件元件
3652,精聯,上市,電腦及週邊設備業,電腦系統業
3653,健策,上市,電子零組件業,電子零件元件/封測服務與材料
3661,世芯-KY,上市,半導體業,IC設計
3663,鑫科,上櫃,其他電子業,電子化工材料/傳產其他
3664,安瑞-KY,上櫃,通信網路業,通訊設備/軟體業
3665,貿聯-KY,上市,其他電子業,電子零件元件/電線電纜
3666,光耀,上櫃,光電業,面板零組件
3669,圓展,上市,通信網路業,消費性電子產品
3672,康聯訊,上櫃,通信網路業,光通訊
3673,TPK-KY,上市,光電業,面板零組件/面板業
3675,德微,上櫃,半導體業,分離式元件
3679,新至陞,上市,電子零組件業,電子零件元件
3680,家登,上櫃,半導體業,車輛整車/設備儀器廠商
3682,亞太電,上市,通信網路業,通訊服務
3684,榮昌,上櫃,通信網路業,電子零件元件/通訊設備
3685,元創精密,上櫃,電機機械,汽機車零組件
3686,達能,上市,半導體業,太陽能
3687,歐買尬,上櫃,電子商務,軟體業/遊戲產業/文化創意產業
3689,湧德,上櫃,電子零組件業,電子零件元件
3691,碩禾,上櫃,光電業,太陽能
3693,營邦,上櫃,電腦及週邊設備業,電子零件元件/電腦系統業
3694,海華,上市,通信網路業,通訊設備
3701,大眾控,上市,電腦及週邊設備業,車用電子/控股公司/消費性電子產品/電腦系統業
3702,大聯大,上市,電子通路業,控股公司/電子通路
3703,欣陸,上市,建材營造業,營造工程/控股公司
3704,合勤控,上市,通信網路業,通訊設備/光通訊/控股公司
3705,永信,上市,生技醫療業,控股公司/生物科技/醫藥產業
3706,神達,上市,電腦及週邊設備業,車用電子/通訊設備/控股公司/週邊產品/電腦系統業
3707,漢磊,上櫃,半導體業,IC製造/控股公司
3708,上緯投控,上市,化學工業,化學工業/傳產其他
3709,鑫聯大投控,上櫃,電腦及週邊設備業,電子通路
3710,連展投控,上櫃,電子零組件業,電子零件元件/通訊設備/控股公司
3711,日月光投控,上市,半導體業,IC封裝測試
3712,永崴投控,上市,電腦及週邊設備業,電子零件元件/數位相機/光通訊/控股公司/電力/電子其他/電子通路/週邊產品
3713,新晶投控,上櫃,光電業,太陽能
3714,富采,上市,光電業,LED
3715,定穎投控,上市,電子零組件業,控股公司/印刷電路板相關
4102,永日,上櫃,生技醫療業,生物科技/醫藥產業
4104,佳醫,上市,生技醫療業,手術與治療用醫材/醫藥產業/醫療器材通路/醫療管理服務
4105,東洋,上櫃,生技醫療業,醫藥產業
4106,雃博,上市,生技醫療業,手術與治療用醫材/輔助與彌補用醫材
4107,邦特,上櫃,生技醫療業,手術與治療用醫材/其他醫療器材
4108,懷特,上市,生技醫療業,生物科技/醫藥產業
4109,加捷生醫,上櫃,生技醫療業,生物科技
